Day,Date,Time,boxscore,Result,OT,Record,Home/Away,Opponent,Tm_Score,Opp_Score,O_1stD,O_TotYd,O_PassY,O_RushY,O_TO,D_1stD,D_TotYd,D_PassY,D_RushY,D_TO,O_EXP,D_EXP,Sp_Tms
Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,Chicago Bears,38,20,15,329,237,92,,22,311,189,122,2,8.05,6.45,2.11
Sun,September 17,1:00PM ET,boxscore,L,,1-1,@,Atlanta Falcons,24,25,17,224,140,84,,27,446,235,211,1,7.85,-13.12,0.97
Sun,September 24,1:00PM ET,boxscore,W,,2-1,,New Orleans Saints,18,17,21,340,245,95,1,15,252,175,77,,1.99,3.02,-6.26
Thu,September 28,8:15PM ET,boxscore,L,,2-2,,Detroit Lions,20,34,15,230,203,27,2,25,401,190,211,1,-8.60,-8.47,-2.13
Mon,October 9,8:15PM ET,boxscore,L,,2-3,@,Las Vegas Raiders,13,17,18,285,175,110,3,19,279,183,96,1,-6.99,1.23,5.61
,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Sun,October 22,4:25PM ET,boxscore,L,,2-4,@,Denver Broncos,17,19,20,331,194,137,1,18,339,194,145,,11.33,-9.89,-2.65
Sun,October 29,1:00PM ET,boxscore,L,,2-5,,Minnesota Vikings,10,24,16,270,196,74,1,24,346,284,62,1,-10.54,-13.60,9.64
Sun,November 5,1:00PM ET,boxscore,W,,3-5,,Los Angeles Rams,20,3,21,391,207,184,2,10,187,119,68,2,2.46,20.49,-1.58
Sun,November 12,1:00PM ET,boxscore,L,,3-6,@,Pittsburgh Steelers,19,23,17,399,283,116,2,21,324,119,205,,8.81,-7.06,-3.18
Sun,November 19,1:00PM ET,boxscore,W,,4-6,,Los Angeles Chargers,23,20,23,397,295,102,,17,394,244,150,1,12.80,-2.45,-4.58
Thu,November 23,12:30PM ET,boxscore,W,,5-6,@,Detroit Lions,29,22,17,377,268,109,,25,464,324,140,3,9.91,1.02,1.64
Sun,December 3,8:20PM ET,boxscore,W,,6-6,,Kansas City Chiefs,27,19,24,382,253,129,,25,337,189,148,1,19.21,-9.54,-0.96
Mon,December 11,8:15PM ET,boxscore,L,,6-7,@,New York Giants,22,24,19,326,203,123,3,18,367,158,209,2,0.04,-2.39,0.20
Sun,December 17,1:00PM ET,boxscore,L,,6-8,,Tampa Bay Buccaneers,20,34,18,321,261,60,1,22,452,353,99,1,5.02,-21.36,-0.81
Sun,December 24,1:00PM ET,boxscore,W,,7-8,@,Carolina Panthers,33,30,25,369,207,162,,26,394,298,96,,19.16,-20.51,1.99
Sun,December 31,8:20PM ET,boxscore,W,,8-8,@,Minnesota Vikings,33,10,28,470,293,177,1,13,211,144,67,2,22.54,14.27,-12.19
Sun,January 7,4:25PM ET,boxscore,W,,9-8,,Chicago Bears,17,9,24,432,308,124,1,13,192,117,75,,20.31,1.05,-8.08
,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Sun,January 14,4:30PM ET,boxscore,W,,10-8,@,Dallas Cowboys,48,32,22,415,272,143,,37,510,387,123,2,27.79,-11.47,2.74
Sat,January 20,8:15PM ET,boxscore,L,,10-9,@,San Francisco 49ers,21,24,20,330,194,136,2,19,356,245,111,,5.63,-12.57,1.49

Jordan Love,25,QB,17,17,372,579,4159,4902,8.5,2242,6.0,3.9,1917,5.2
Sean Clifford,25,QB,2,0,1,1,37,34,34.0,34,34.0,34.0,3,3.0
Dontayvion Wicks,22,WR,15,6,1,1,14,9,9.0,9,9.0,9.0,5,5.0
