Game,Date,Time_EST,Opponent,Home_Away
1,09-06-2024,8:15,Philadelphia Eagles,Away
2,09-15-2024,1:00,Indianapolis Colts,Home
3,09-22-2024,1:00,Tennessee Titans,Away
4,09-29-2024,1:00,Minnesota Vikings,Home
5,10-06-2024,4:25,Los Angeles Rams,Away
6,10-13-2024,1:00,Arizona Cardinals,Home
7,10-20-2024,1:00,Houston Texans,Home
8,10-27-2024,1:00,Jacksonville Jaguars,Away
9,11-03-2024,4:25,Detroit Lions,Home
10,11-17-2024,1:00,Chicago Bears,Away
11,11-24-2024,4:25,San Francisco 49ers,Home
12,11-28-2024,8:20,Miami Dolphins,Home
13,12-05-2024,8:15,Detroit Lions,Away
14,12-15-2024,8:20,Seattle Seahawks,Away
15,12-23-2024,8:15,New Orleans Saints,Home
16,12-29-2024,1:00,Minnesota Vikings,Away
17,01-05-2025,1:00,Chicago Bears,Home
